timestamp,users_holding
6/4/2020 12:40,0
6/4/2020 13:40,48
6/4/2020 14:40,9299
6/4/2020 15:40,13896
6/4/2020 17:06,17406
6/4/2020 17:40,17406
6/4/2020 18:40,18915
6/4/2020 19:40,20161
6/4/2020 20:40,21318
6/4/2020 21:40,21527
6/4/2020 22:40,21806
6/4/2020 23:40,21806
6/5/2020 0:40,21806
6/5/2020 1:40,21806
6/5/2020 2:40,21806
6/5/2020 3:40,21806
6/5/2020 4:40,21806
6/5/2020 5:40,21808
6/5/2020 6:40,21808
6/5/2020 7:40,21808
6/5/2020 8:40,21808
6/5/2020 9:40,21808
6/5/2020 10:40,21808
6/5/2020 11:40,21808
6/5/2020 13:08,21893
6/5/2020 13:40,21893
6/5/2020 14:40,24788
6/5/2020 15:40,28367
6/5/2020 16:40,29596
6/5/2020 17:40,30772
6/5/2020 18:40,31822
6/5/2020 19:40,32695
6/5/2020 20:40,33494
6/5/2020 21:40,33672
6/5/2020 22:40,33811
6/5/2020 23:40,33811
6/6/2020 0:40,33811
6/6/2020 1:40,33811
6/6/2020 2:40,33811
6/6/2020 3:40,33811
6/6/2020 4:40,33811
6/6/2020 5:40,33811
6/6/2020 6:40,33811
6/6/2020 7:40,33811
6/6/2020 8:40,33811
6/6/2020 9:51,33827
6/6/2020 10:40,33827
6/6/2020 11:40,33827
6/6/2020 12:40,33827
6/6/2020 13:40,33827
6/6/2020 14:40,33827
6/6/2020 15:40,33827
6/6/2020 16:40,33827
6/6/2020 17:41,33827
6/6/2020 18:40,33827
6/6/2020 19:40,33827
6/6/2020 20:40,33827
6/6/2020 21:40,33827
6/6/2020 22:40,33827
6/6/2020 23:40,33827
6/7/2020 0:40,33827
6/7/2020 1:40,33827
6/7/2020 2:40,33827
6/7/2020 3:40,33827
6/7/2020 4:40,33827
6/7/2020 5:40,33827
6/7/2020 6:40,33827
6/7/2020 7:40,33827
6/7/2020 8:40,33827
6/8/2020 4:40,33827
6/8/2020 5:40,33827
6/8/2020 6:40,33827
6/8/2020 7:40,33827
6/8/2020 8:40,33827
6/8/2020 9:40,33827
6/8/2020 10:40,33827
6/8/2020 11:40,33827
6/8/2020 12:40,33827
6/8/2020 13:40,33882
6/8/2020 14:40,37735
6/8/2020 15:40,46527
6/8/2020 16:40,51824
6/8/2020 17:40,55710
6/8/2020 18:40,59297
6/8/2020 19:40,63521
6/8/2020 20:40,70378
6/8/2020 21:40,74509
6/8/2020 22:40,77040
6/8/2020 23:40,77040
6/9/2020 0:40,77040
6/9/2020 1:40,77040
6/9/2020 2:40,77040
6/9/2020 3:40,77040
6/9/2020 4:40,77040
6/9/2020 5:40,77020
6/9/2020 6:40,77019
6/9/2020 7:40,77019
6/9/2020 8:40,77019
6/9/2020 9:40,77019
6/9/2020 10:40,77019
6/9/2020 11:40,77019
6/9/2020 12:40,77019
6/9/2020 13:40,77608
6/9/2020 14:40,87181
6/9/2020 15:40,109306
6/9/2020 16:40,113378
6/9/2020 17:40,117285
6/9/2020 18:40,120988
6/9/2020 19:40,122581
6/9/2020 20:40,122581
6/9/2020 21:40,124444
6/9/2020 22:40,125059
6/9/2020 23:40,125059
6/10/2020 0:40,125059
6/10/2020 1:40,125059
6/10/2020 2:40,125059
6/10/2020 3:40,125059
6/10/2020 4:40,125058
6/10/2020 5:40,125063
6/10/2020 6:40,125063
6/10/2020 7:40,125063
6/10/2020 8:40,125063
6/10/2020 9:40,125063
6/10/2020 10:40,125063
6/10/2020 11:40,125063
6/10/2020 12:40,125063
6/10/2020 13:40,124985
6/10/2020 14:40,125039
6/10/2020 15:40,127111
6/10/2020 16:40,127630
6/10/2020 17:40,127886
6/10/2020 18:40,128180
6/10/2020 19:40,129292
6/10/2020 20:40,130130
6/10/2020 21:40,130528
6/10/2020 22:40,130783
6/10/2020 23:40,130783
6/11/2020 0:40,130783
6/11/2020 1:40,130783
6/11/2020 2:40,130783
6/11/2020 3:40,130783
6/11/2020 4:40,130780
6/11/2020 5:40,130780
6/11/2020 6:40,130780
6/11/2020 7:40,130780
6/11/2020 8:40,130780
6/11/2020 9:40,130780
6/11/2020 10:40,130780
6/11/2020 11:40,130780
6/11/2020 12:40,130780
6/11/2020 13:40,130987
6/11/2020 14:40,133609
6/11/2020 15:40,136787
6/11/2020 16:40,137379
6/11/2020 17:40,137365
6/11/2020 18:40,137650
6/11/2020 19:40,137668
6/11/2020 20:40,137365
6/11/2020 21:40,137416
6/11/2020 22:40,137516
6/11/2020 23:40,137516
6/12/2020 0:40,137516
6/12/2020 1:40,137516
6/12/2020 2:40,137516
6/12/2020 3:40,137516
6/12/2020 4:40,137516
6/12/2020 5:40,137516
6/12/2020 6:40,137516
6/12/2020 7:40,137516
6/12/2020 8:40,137516
6/12/2020 9:40,137516
6/12/2020 10:40,137516
6/12/2020 11:40,137516
6/12/2020 14:08,138548
6/12/2020 14:16,138548
6/12/2020 14:40,138548
6/12/2020 15:40,138745
6/12/2020 16:40,138763
6/12/2020 17:40,138981
6/12/2020 18:40,139103
6/12/2020 19:40,139188
6/12/2020 20:40,139320
6/12/2020 21:40,139332
6/12/2020 22:40,139402
6/12/2020 23:40,139402
6/13/2020 0:40,139402
6/13/2020 1:40,139402
6/13/2020 2:40,139402
6/13/2020 3:40,139402
6/13/2020 4:40,139402
6/13/2020 5:40,139402
6/13/2020 6:40,139416
6/13/2020 7:40,139416
6/13/2020 8:40,139405
6/13/2020 9:40,139405
6/13/2020 10:40,139405
6/13/2020 11:40,139405
6/13/2020 12:40,139405
6/13/2020 13:40,139405
6/13/2020 14:40,139405
6/13/2020 15:40,139405
6/13/2020 16:40,139405
6/13/2020 17:40,139405
6/13/2020 18:40,139405
6/13/2020 19:40,139405
6/13/2020 20:40,139405
6/13/2020 21:40,139405
6/13/2020 22:40,139405
6/13/2020 23:40,139405
6/14/2020 0:40,139405
6/14/2020 1:40,139405
6/14/2020 2:40,139405
6/14/2020 3:40,139405
6/14/2020 4:40,139405
6/14/2020 5:40,139405
6/14/2020 6:40,139405
6/14/2020 7:40,139405
6/14/2020 8:40,139405
6/14/2020 9:40,139405
6/14/2020 10:40,139405
